;name;country_code;country;hobbies;education;hero;influence;philosophy;slug_game;game_year
0;ALEKSANYAN Artur;ARM;Armenia;Playing and watching football;Graduated from Shirak State University (Gyumri, ARM);Footballer Zinedine Zidane (FRA), World Cup winner (1998) and European champion (2000) with France, won the Champions League as a player and three times as a manager with Real Madrid, three-time FIFA World Player of the Year;His father, Gevorg Aleksanyan;"""Wrestling is my life."" (mediamax.am. 18 May 2016)";paris-2024;2024
14;DIOSDADO Nuria;MEX;Mexico;Spending time with friends, playing the piano, going to the cinema;Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX);Spanish artistic swimmer Gemma Mengual, 2008 Olympic silver medallist in duet and team;Her parents;"""Let everything you do be guided by your passion and conviction to reach a goal, no matter how difficult it may seem."" (myInfo)";paris-2024;2024
34;LOPEZ Jesus Tonatiu;MEX;Mexico;Reading, listening to music, puzzles;Sport Studies at University of Sonora (Hermosillo, MEX);His parents;His family;"""Quit now and every battle will have been in vain."" (myInfo)";paris-2024;2024
58;MORENO Alexa;MEX;Mexico;Anime, karaoke;Architecture at University of the Valley of Mexico (MEX);"Artistic gymnast Oksana Chusovitina (UZB), eight-time Olympian winning 1992 individual all-around gold (for EUN) and 2008 vault Olympic silver (GER); 11-time world championship medallist (three gold, four silver, four bronze).</p><p>Artistic gymnast Alicia Sacramone (USA), 2008 Olympic team all-around silver medallist; eight-time world championship medallist (four gold, four silver, two bronze).</p><p>Artistic gymnast Kohei Uchimura (JPN), seven-time Olympic medallist (three gold, four silver) winning back-to-back individual all-around gold (2012, 2016), 20-time world championship medallist with 10 gold (six individual all-around titles)";Her parents;"""Keep going and if you fall, learn why you fell and get back up."" (kyma.com, 9 May 2024)</p><p>""When you get out of your comfort zone you confirm you are capable of achieving more than you believed."" (www.instyle.mx, 22 May 2017)";paris-2024;2024
83;RODRIGUEZ Gabriela;MEX;Mexico;Working out, hiking;Studied Clinical Psychology at the Monterrey Institute of Technology and Higher Education (Monterrey, MEX). Now studying for a Master's in Psychotherapy;Shooter Ennio Falco (ITA), 1996 Olympic skeet champion, five-time Olympian (1996, 2000, 2004, 2008, 2012), eight-time world championship medallist (five silver, three bronze);"Her coach, Pietro Genga (ITA). ""He has taught me so much, and changed my whole approach to the sport. He made me believe in myself."" (Athlete, 1 Jul 2024)";"""Small actions, big results. Everything is on the day to day small habits that you stick to."" (Athlete, 1 Jul 2024)";paris-2024;2024
115;WONG Guanjie Johnathan;MAS;Malaysia;Outdoor activities, PC gaming, hunting for food;Graduated in 2019 with a Bachelor's degree in Engineering (Aerospace) from the University of Putra Malaysia (MAS);Squash player Nicol Ann David (MAS), 11-time world championship singles medallist (eight gold, three silver), four-time Commonwealth Games medallist (two gold, one silver, one bronze), nine-time Asian Games medallist (seven gold, one silver, one bronze);"His grandfather. ""He inspired me to excel in sports and represent the country at Olympic and continental Games."" (Athlete, 11 May 2024)";"""No matter what you do, give your very best."" (Athlete, 11 May 2024)";paris-2024;2024
241;GIL Federico;ARG;Argentina;Fishing, travel, hunting;Graduated in 2016 with a Master's degree in Criminal Law from the University of Buenos Aires (ARG).</p><p>Studied Law at the Argentine University John F. Kennedy, Buenos Aires (ARG);His father, shooter Horacio Gil (ARG), six-time world championship (1994, 1997, 1998, 2002, 2010, 2011) and three-time Pan American Games team member (1995, 1999, 2003);His father;"""Hard work always pays off."" (Athlete, 19 Jul 2021)";paris-2024;2024
253;BATRA Manika;IND;India;Dancing, photography, watching movies, cricket, tennis;Graduated with a degree in Humanities from the University of Delhi (IND);Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker;Her mother, and coach Sandeep Gupta;"""Always in my mind, India is first and I come second. Whenever I go to tournaments, I remind myself that I haven't come here for myself but rather to win something for India."" (myInfo)";paris-2024;2024
255;ZMUSHKA Alina;AIN;AIN;Reading books, cycling;Studies Sports Psychology at Belarusian State University of Physical Education (Minsk, BLR);Swimmer Yulia Efimova (RUS), three-time Olympic medallist (two silver, one bronze), 17-time world championship medallist (six gold, seven silver, four bronze);Her parents, and coach Ihar Makeev;"""Don't stop at what has been achieved already."" (isl.global)";paris-2024;2024
265;VALARIVAN Elavenil;IND;India;Travelling, reading, playing badminton, driving, photography;English Literature - Bhavan's Sheth R.A. College of Arts and Commerce, Ahmedabad, IND;Shooter Gagan Narang (IND), 2012 Olympic air rifle bronze medallist, four-time Olympian (2004, 2008, 2012, 2016), 2010 World Championships bronze medallist;"Indian shooter Gagan Narang. ""Training under Gagan Sir has been transformative. His experience and insights are invaluable, and his mentorship has significantly enhanced my skills and confidence. He has guided me through every step of my journey."" (thehindu.com, 4 Jul 2024)";"""10m air rifle needs a lot of precision. We can't just shoot a 10.2 instead of a 10.9. I think in shooting, precision is way higher than any other sport. A shot may work or may not work. Precision and patience are the best key elements in this event, and these aspects excite me the most."" (womensoutdoornews.com, 30 Oct 2020)";paris-2024;2024
336;PUSARLA V. Sindhu;IND;India;Meditation;Commerce at St Ann's College for Women (Hyderabad, IND);"Boxer Mary Kom (IND), 2012 Olympic flyweight bronze medallist; 2018 Commonwealth Games gold; two-time Asian Games medallist (2014 gold, 2010 bronze)";Her parents;"""The greatest asset is a strong mind. If I know that someone is training harder than I am, I have no excuses."" (myInfo)";paris-2024;2024
389;Mc CLENAGHAN Rhys;IRL;Ireland;Vlogging, golf, spending time with family;Sport Studies at Bangor SERC, Northern Ireland;Artistic gymnast Max Whitlock (GBR), six-time Olympic medalist (three gold, three bronze), eight-time world championship medalist (three gold, five silver).</p><p>Artistic gymnast Louis Smith (GBR), four-time Olympic medalist (two silver, two bronze) and five-time world championship medalist (three silver, two bronze);Coach Luke Carson;"""I don't let outside pressures get to me. I know that when I put up my hand for my routine, I'm in the zone. I'm doing my routine, I'm doing my job, and I don't let anything else disturb that. It's back to my own mindset."" (myInfo)";paris-2024;2024
450;ELHAGE Phili;ARU;Aruba;Running, social baseball and softball, flag football;Studied Information, Communication and Technology at university in Curacao;"Sprinter Churandy Martina (NED), four-time Olympian (2004, 2008, 2012, 2016), three-time European champion, 2007 Pan American Games 100m champion. </p><p>""He is always positive in all situations and prepared for the next challenge. A very humble person who helps his community and fellow athletes."" (Athlete, 18 Jun 2024)";"His late father, and his mother. ""He taught me the value of hard work, and my mother always told me to dream as big as I want."" (Athlete, 18 Jun 2024)";"""Enjoy the process. When it's all said and done, that is the part we will remember."" (Athlete, 18 Jun 2024)";paris-2024;2024
456;ZUMAYA FLORES Goretti Alejandra;MEX;Mexico;Cycling, hiking, walking her dogs, watching TV;Received a Bachelor's degree in Physiotherapy in 2022;"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)";"Her father, David. ""(He) sometimes gives me good advice and sometimes bad advice, but he is my guide."" (Athlete, 28 Jun 2024)";"""You can't perform miracles. Focus on what you know."" (Athlete, 28 Jun 2024)";paris-2024;2024
522;CRET Alex;ROU;Romania;Fishing;Studies at the University of Oradea (Oradea, ROU);"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)";His family;"""Just believe in yourself."" (Athlete, 12 May 2024)";paris-2024;2024
524;AL RAIMI Yasameen;YEM;Yemen;Travelling;Studied Diplomatic Law at the Arab University for Technical Sciences (YEM);"""Myself. I consider myself to be a very special and wonderful person."" (Athlete, 1 Jul 2024)";"Her mother. ""My mum's prayers helped me get to the Olympic Games."" (Athlete, 1 Jul 2024)";"""Work hard and persevere and you will reach the highest ranks."" (Athlete, 1 Jul 2024)";paris-2024;2024
538;USTOPIRIYON Komronshokh;TJK;Tajikistan;Driving;Physical Education at Khujand State University (TJK);"""My father and brother are my heroes."" (Athlete, 14 May 2024)";His father Usto Ustopirov and his brother Faridun;"""I must win."" (Athlete, 14 May 2024)";paris-2024;2024
541;ESCALERA Natalia;MEX;Mexico;Discovering new coffee shops;Studying Sports Science at Autonomous University of Nuevo Leon (MEX);Artistic gymnast Aliya Mustafina (RUS), seven-time Olympic medallist (two gold, two silver, three bronze), 2010 world all-around champion, 12-time world medallist (three gold, four silver, five bronze);Her coach Pavel Oceguera, her parents and her partner;"""More than a saying, I always try to speak to myself in a positive way and tell myself the things I want to happen, in the present and past, as if I had already accomplished them, to manifest and decree.” (intlgymnast.com, 4 Apr 2024)";paris-2024;2024
547;CUMBO Hugo;VAN;Vanuatu;Mountain walks and trails. Sea outings (underwater fishing);Graduated in 2019 with a Master's degree in Industrial and Mechanical Engineering from Ecole Nationale Superieure des Arts et Metiers (ENSAM);Judoka Joe Mahit (VAN), 2016 Olympian (-66kg), four-time Oceania Championships team member (2014, 2015, 2016, 2017).</p><p>Judoka Nazario Fiakaifonu (VAN), 2012 Olympian (100+kg), and competed at the 2011 World Championships and 2011 Judo Oceania World Cup.</p><p>Para athlete Elie Enock (VAN), competed in shot put (F56/57) at the 2019 World Para Athletics Championships (sixth) and in para powerlifting (heavyweight) at the 2022 Commonwealth Games (eighth);"Several people have shaped his career. His father for introducing him to judo, judoka Florence Daoleuang who took him to a high level and introduced him to competition and Eric Reuillard ""who taught me the basics of physical preparation during my studies."" (Athlete, 12 Jun 2024)";"""The end justifies the means. When I have a goal, it doesn't matter what the means, the pain, the suffering, the sacrifices are... as long as I achieve my goal. Once I've achieved my goal all the negativity is forgotten.""</p><p>""Come on, one more. When I'm in a difficult moment, physically or mentally, I say to myself 'one more'. One more fight, one more minute, one more rehearsal.. until I finish."" (Athlete, 12 Jun 2024)";paris-2024;2024
635;HERRERA Fatima;MEX;Mexico;Listening to music, reading, meditating, running, exercise, studying;Studies Educational Inclusivity at San Luis Potosi State Normal University (San Luis Potosi, MEX);Boxer Vasiliy Lomachenko (UKR), two-time Olympic champion (2008 featherweight, 2012 lightweight), two-time world amateur champion, European amateur champion and junior world champion. One of the most successful amateur boxers of all time with a record of 396 wins and just one defeat, he has a 18-3 record in the professional ranks. (as of 24 May 2024);"Describes her husband as her ""pillar"", since he has always been there for her";"""God's timing is perfect."" (Athlete, 15 Jul 2024)";paris-2024;2024
636;POPOVICI David;ROU;Romania;Travelling, cycling, watching movies, reading;Studying psychology at University of Bucharest (ROU);"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze).</p><p>Swimmer Ian Thorpe (AUS), nine-time Olympic medallist (five gold, three silver, one bronze). 13-time world championship medallist (11 gold, one silver, one bronze). First person to win six golds at a single world championships (2001). Set 13 individual world records";His parents and coach Adrian Radulescu;"""You have power over your mind, not outside events. Realise this, and you will find strength."" (Instagram 21 Jun 2021)";paris-2024;2024
699;JEGOU Liam;IRL;Ireland;Hiking;Graduated with a degree in Applied Foreign Languages;"Canoe slalom paddler Tony Estanguet (FRA), three-time Olympic C1 champion (2000, 2004, 2012); five-time world champion. President of the Paris 2024 Olympic Games Organising Committee (2018-2024)";His father;"""It's just about directing my focus on what I can control and on what I can do on the water. Then you block the rest out. All I can do is go to the gym, go paddling, and do my best every day."" (myInfo)</p><p>""Improvise, adapt and overcome."" (canoeicf.com)";paris-2024;2024
702;BARR Thomas;IRL;Ireland;Working on cars;Mechanical Engineering - University of Limerick, Ireland and then completed a Master's in Sports Performance in 2016;High jumper Stefan Holm (SWE), 2004 Olympic champion, 2003 World Championships silver medallist. </p><p>Rugby union player Paul O'Connell (IRL) and his sister Jessie Barr;Coach Hayley Harrison, and his parents;"""I know when I'm in that relaxed head space, that's when I know I can perform at my best."" (myInfo)";paris-2024;2024
744;NJIE Faye;GAM;Gambia;Hiking, fishing, football;Graduated in 2021 with a Bachelor's of Physical Education at University of Wolverhampton (GBR);Footballer Lionel Messi (ARG), FIFA World Cup winner (2022), Copa America winner (2021), eight time Ballon d'Or winner. Lifted every major club prize in the game with Barcelona and won gold at the 2008 Olympic Games in Beijing;"His mother. ""She is very hard working and always helpful towards others."" (Athlete, 25 Jun 2024)";"""Hard work eventually pays off."" (Athlete, 25 Jun 2024)";paris-2024;2024
746;SINGH Sarabjot;IND;India;Gaming, cafe hopping;Graduated in 2023 with a Bachelor's degree in Arts from the Panjab University (IND);His father;"His friend, Aditya Malra. ""He has been with me since day one and has motivated me through every stage of my life."" (Athlete, 18 Mar 2024)";"""Stay fit and disciplined."" (Athlete, 18 Mar 2024)";paris-2024;2024
755;ALONSO Luana;PAR;Paraguay;Reading, running;Studying Political Science at Southern Methodist University, Dallas (TX, USA);Her father;Her father;"""Go with everything or it's better not to go."" (myInfo)";paris-2024;2024
785;NARVAEZ Gabriela;PAR;Paraguay;Studying architecture, drawing, painting;Architecture student;Judoka Ryoko Tamura-Tani (JPN), one of the few women to have won medals at five consecutive Olympic Games from 1992-2008 (two gold, two silver, one bronze), eight-time world championship medallist (seven gold, one bronze). </p><p>Judoka Kim Jae-Bum (KOR), two-time Olympic -81kg medallist (2012 gold, 2008 silver), three-time world championship medallist (two gold, one bronze);"""My father, as I started judo because of him."" (Athlete, 30 Apr 2024)";"""He who fights until the end is not dead."" (Athlete, 30 Apr 2024)";paris-2024;2024
798;MORGAN Sophia Frances;FIJ;Fiji;Anything related to the ocean and exercising, surfing, diving or skurfing, volunteering with animals and learning how to knit;Studied Biomedicine at Auckland University (NZL);The Rio 2016 Fiji men's rugby sevens team and the Tokyo 2020 women's rugby team;Her father;"""Make some magic and have some fun""";paris-2024;2024
858;KALEYN Boryana;BUL;Bulgaria;Drawing, reading, painting, mountain hiking;Coaching at Vasil Levski National Sports Academy (Sofia, BUL);Rhythmic gymnasts:<br>Maria Guigova (BUL), three-time world all-around champion (1969, 1971, 1973).</p><p>Maria Petrova (BUL), three-time world all-around champion (1993, 1994, 1995).</p><p>Iliana Raeva (BUL), 1979 world champion (clubs).</p><p>Boxer Muhammad Ali, born Cassius Clay (USA), former undisputed heavyweight champion of the world, 1960 Olympic champion (light heavyweight), nicknamed 'The Greatest' and regarded as one of the most significant sports figures of the 20th century;Her mother and coaches;“What you need to succeed is to believe in yourself and know that someone believes in you, that they support you. In life, just as you can win, so can you lose. Nothing is ever 100% certain, but you have to try, giving your best.” (24chasa-bg, 30 Jul 2023)</p><p>“I’m a person who believes in myself, (the kind of person who) when she decides to do something, no matter how many people tell her it can’t be done, she doesn’t believe them.” (24chasa-bg, 30 Jul 2023)</p><p>“If you can beat yourself, you can beat the world.” (24chasa-bg, 30 Jul 2023);paris-2024;2024
867;SALUKVADZE Nino;GEO;Georgia;Music, painting;Studied Coaching and Sports Psychology at the Georgian State Institute of Physical Culture (GEO);Triple jumper Viktor Saneyev (GEO), four-time Olympic medallist (three gold, one silver), three-time European championships medallist (two gold, one silver);Her father, Vakhtang. He was her coach when she started her shooting career in the mid-1980s, and was still coaching her in his 90s. He passed away in March 2024;“Age doesn’t mean anything in shooting and I don't want to think about it. You just need to hold a gun and you don’t need a lot of physical training. Our sport is 80% psychological, you need to be able to control your thoughts.” (olympics.com, 24 Jun 2024);paris-2024;2024
870;BIN DALLAH Mohammed;LBA;Libya;Sports, travelling;Studying at Tripoli University (LBA);Boxer Muhammad Ali, born Cassius Clay (USA), former undisputed heavyweight champion of the world, 1960 Olympic champion (light heavyweight), nicknamed 'The Greatest' and regarded as one of the most significant sports figures of the 20th century;His father;"""Be or not to be."" (Athlete, 2 Feb 2024)";paris-2024;2024
893;GANDIA Adrian;PUR;Puerto Rico;Surfing, brewing beer, playing the guitar, reading, breadmaking;International Business at EU Business School;Wrestler David Taylor (USA), 2020 Olympic champion (86kg), four-time world championship medallist (three gold, one silver);"""My family. My parents Miguel and Maridalys always encouraged me to follow my dreams even when it meant making hard decisions such as moving to different countries to have a better chance at developing my judo. </p><p>""My brother Alejandro also helped me as a training partner in countless occasions when I needed someone to train with. </p><p>""My girlfriend Adi has supported me throughout these last years and has been by my side through all the ups and downs that this Olympic cycle has brought.</p><p>""These four individuals have been most influential. There are countless more including coaches, training partners and mentors who have all helped me along the way as well. Too many to count."" (Athlete, 26 Apr 2024)";"""Grateful for the opportunity to fight. Every fight is the final."" (Athlete, 26 Apr 2024)";paris-2024;2024
896;BELENIUK Zhan;UKR;Ukraine;Reading, spending time with his dog;Studied Coaching, Sports Psychology at the National University of Ukraine (Kyiv, UKR);Tennis player Serena Williams (USA), winner of 23 Grand Slam singles titles, 2012 Olympic singles champion, three-time Olympic doubles champion (2000, 2008, 2012);His mother;"""To achieve a sporting result, the main thing is to believe in yourself, to keep going when you encounter failure and no one supports you."" (myInfo)";paris-2024;2024
899;PAUL Georges Julien;MRI;Mauritius;Beach volleyball, hiking, gaming;Graduated in 2021 with a Bachelor's degree in Marketing and Management from Curtin University;Badminton player Chen Long (CHN), three-time Olympic singles medallist (2016 gold, 2020 silver, 2012 bronze), four-time world championship singles medallist (two gold, two bronze);His brother;"""Always give 100%, live without regrets."" (Athlete, 27 May 2024)";paris-2024;2024
902;GJAKOVA Nora;KOS;Kosovo;Skiing, hiking, reading;Bachelor's Degree Management and Information at European College of Kosovo (Pristina, KOS);Judoka Majlinda Kelmendi (KOR), 2016 Olympic 52kg champion, two-time world champion (2013, 2014);"""My parents, because they are hard workers and they enjoy the little things."" (Athlete, 4 Apr 2024)";"""Nothing is impossible""";paris-2024;2024
955;IVALDI Raffaello;ITA;Italy;Basketball, tennis, cycling, skiing, photography;Studies Law at the University of Verona (ITA);"Canoe slalom paddler Tony Estanguet (FRA), three-time Olympic C1 champion (2000, 2004, 2012); five-time world champion. President of the Paris 2024 Olympic Games Organising Committee (2018-2024).</p><p>Basketball player Tim Duncan (USA), five-time NBA champion with San Antonio Spurs (1999, 2003, 2005, 2007, 2014). Became the second player in NBA history, joining John Salley, to win an NBA championship in three different decades. Claimed Olympic bronze at Athens 2004";"Older brother and canoe slalom athlete Zeno Ivaldi. ""My brother is always with me when I'm training or racing."" (canoeicf.com)";"""Go big or go home. Why not?"" (canoeicf.com)";paris-2024;2024
1080;SULAMANIDZE Ilia;GEO;Georgia;Music, especially playing piano;University education;Ilia Chavchavadze (Georgian writer, poet and publisher, 1837-1907), Zviad Gamsakhurdia (Georgian politician, 1939-93), Merab Kostava (Georgian human rights campaigner, dissident, poet, 1939-89);Shota Rustaveli (Georgian poet);"""You are creator."" (Athlete, 1 May 2024)";paris-2024;2024
1104;GADEAU Marvin;MON;Monaco;Playing chess and backgammon;Degree in Economics from the University of Paris in 2022;Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles (as of 10 SEP 2023), 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020);"""My godfather's wife, because without her I would probably never have started judo."" (Athlete, 19 Jul 2024)";"He has two mottos, the first being ""who dares, wins"", which was the motto of the Pole Espoir in Nice where he studied throughout his secondary school years. The second is ""Strength and Honour""";paris-2024;2024
1149;SABRI Nur Dhabitah;MAS;Malaysia;Baking;In 2021 she began studying for a degree in Media Communication at the National University of Malaysia (Bangi, MAS);Diver Pandelela Rinong (MAS), two-time Olympic medallist (2016 silver, 2012 bronze), seven-time world championship medallist (one silver, six bronze);Her family;"""Never give up."" (Athlete, 13 Aug 2018)";paris-2024;2024
1174;GEORGIOU Marios;CYP;Cyprus;Dancing;University of Nicosia, Cyprus;Artistic gymnast Kohei Uchimura (JPN), seven-time Olympic medallist (three gold, four silver) winning back-to-back individual all-around gold (2012, 2016), 20-time world championship medallist with 10 gold (six individual all-around titles);Coach Panagiotis Petridis;"""Always keep pushing no matter how hard it is."" (Instagram profile, 2024)";paris-2024;2024
1218;LOPEZ Gaby;MEX;Mexico;Dancing, water skiing, playing tennis, reading, watching movies;Studied communications at the University of Arkansas (Fayetteville, AR, USA);Golfer Lorena Ochoa (MEX), two-time Ladies Professional Golf Association (LPGA)  major winner (2007 British Open, 2008 Chevron Championship), world number one for 158 weeks (April 2007 to May 2010);Her family, and coach Horacio Morales;"""I challenge myself and learn something new everyday."" (myInfo)";paris-2024;2024
1224;MALOVICHKO Iryna;UKR;Ukraine;Hunting;Studied at the Odessa I.I. Mechnikov National University (UKR). In 2017, completed her Master's degree at the South Ukrainian K. D. Ushinsky National Pedagogical University State Institution (UKR);Shooter Milchev Mykola (UKR), 2000 Olympic skeet champion, four-time Olympian (2000, 2004, 2008, 2016), 2023 World Championships silver medallist (mixed skeet team);"Her father. ""He helps me and has supported me all my life."" (Athlete, 2 Jul 2024)";"""Never give up."" (Athlete, 2 Jul 2024)";paris-2024;2024
1225;KHAMIDOVA Navbakhor;UZB;Uzbekistan;Reading books;Studied at Samarkand State University (Samarkand, UZB);Boxer Mike Tyson (USA), the undisputed world heavyweight champion from 1987 to 1990. Won his first 19 professional fights by knockout, 12 of them in the first round. At 20 years, four months, and 22 days old, he holds the record as the youngest boxer ever to win a heavyweight title;Her coach;"""Keep moving forward."" (Athlete, 5 Jul 2024)";paris-2024;2024
1239;BUKHOV Vladyslav;UKR;Ukraine;Going out with friends, playing video games, ping pong, basketball;Studied at Hryhorii Skovoroda University in Pereiaslav (Kyiv, UKR);Ice hockey player Valeri Kharlamov (URS), three-time Olympic medallist (1972 and 1976 gold, 1980 silver), 11-time world championship medallist (eight gold, two silver, one bronze);His family;"""Always move forward."" (isl.global)";paris-2024;2024
1469;SEIDLER Philli;NAM;Namibia;Surfing, listening to music;Studied Business Management, Marketing at Institute of Information Technology (NAM);Mother Nadja;Family;"""If people aren't laughing at your dreams then your dreams aren't big enough."" (myInfo)";paris-2024;2024
1473;FERREIRA Jacira;MOZ;Mozambique;Selling crepes and waffles;Graduated in 2022 with a degree in Computer and Telecommunications Engineering, Universidade A Politécnica (Maputo, MOZ);Judoka Taciana Cesar (nee Lima) (GBS), two-time Olympian (2016, 2020), seven-time African champion;"""My mother, because she's a very strong woman, a fighter and she is my best friend."" (Athlete, 21 Jun 2024)";Fight for the things you love, no matter what. <br>Nothing happens by chance.<br>Stay strong for yourself;paris-2024;2024
1494;SCHMIRL Alexander;AUT;Austria;Beach volleyball, paddle;MBA in Business Administration and Sport;Tennis player Roger Federer (SUI), 20-time Grand Slam singles champion, 2008 Olympic doubles champion, 2012 Olympic singles silver medallist;His family and friends;"""Victory belongs to the most tenacious. Everything is possible"" (Athlete, 26 Jun 2024)";paris-2024;2024
1504;JOSEPH Gulfam;PAK;Pakistan;Hunting;Studied in the Army Public Schools and Colleges System (APSACS);Shooter Javad Forouchi (IRI), 2020 Olympic champion (10m air pistol), two-time 2022 World Championships 10m air pistol medallist (team silver, mixed team bronze);Iranian shooter, Javad Forouchi;"""Everything is within and it comes from within. It all based on executing the ways we learn in practice. Every individual is capable of doing whatever they want, whatever they wish to do."" (Athlete, 8 May 2024)";paris-2024;2024
1532;TALAT Kishmala;PAK;Pakistan;Reading, sports, exploring new foods, listening to music, nature;Studies Mass Communications at the National University of Modern Languages (Islamabad, PAK);Shooter Gulfam Joseph (PAK), 2020 Olympian, 2024 Asian Championships bronze medallist (10m air pistol mixed team);"Her mother. ""She is the most profound influence in my life, embodying unwavering support, guidance, and love. Her constant encouragement has been a beacon of strength, inspiring me to navigate life's challenges with confidence and resilience. In times of uncertainty, I seek her wisdom and comfort, and she has always been there to offer a compassionate ear and a reassuring presence. Her unconditional belief in me has fostered a sense of purpose and self-worth, shaping me into the person I am today."" (Athlete, 12 May 2024)";"""Believe in yourself, hard work pays off one day. Champions are made from something they have deep inside them - a desire, a dream, a vision."" (Athlete, 12 May 2024)";paris-2024;2024
1548;SANCHO Sebastian;CRC;Costa Rica;Art, visiting beaches and mountains, discovering new places;Studying Architecture;Judoka Tadahiro Nomura (JPN), three-time Olympic champion (1996, 2000, 2004), two-time world championship medallist (1997 gold, 2003 bronze);His brothers who motivate him to be the best person;"""Always try to do your best, in sport and life."" (Athlete, 5 Jul 2024)";paris-2024;2024
1586;WAGNER Anna-Maria;GER;Germany;Skiing, meeting friends, good food;Studying Hotel and Tourism Management at SRH Riedlingen;"""Each Olympic champion inspires me, and I want to inspire others by becoming Olympic champion."" (Athlete, 9 Apr 2024)";"""My best friend, Johanna Muller, and Domenic Weinstein, my boyfriend."" (Athlete, 9 Apr 2024)";"""Setting big goals and dreams and believing in them every day."" (Athlete, 7 Apr 2024)";paris-2024;2024
1592;TRIPPEL Eduard;GER;Germany;Creating judo content for social media. Playing table tennis, playing Tetris;Graduated with a Bachelor of Arts from Hessen University of Applied Sciences for Public Management and Security in 2022;Judoka An Chang-Rim (KOR), 2020 Olympic -73kg bronze medallist, three-time world championship -73kg medallist (one gold, two bronze).</p><p>Judoka Georgii Zantaraia (UKR), three-time Olympian (2012, 2016, 2020), six-time world championship medallist (one gold, one silver, four bronze).</p><p>Judoka Varlam Liparteliani (GEO), 2016 Olympic -90kg silver medallist, six-time world championship medallist (three silver, three bronze).</p><p>Wrestler Frank Staebler (GER), 2020 Olympic bronze medallist, five-time world championship medallist (three gold, two bronze);"""Alexander Wieczerzak (2017 world champion -81kg), because he is not only a very successful judoka, but also a good friend who is always at my side."" (Athlete, 10 Jul 2024)";"""What doesn't kill you only makes you stronger."" (Athlete, 10 Jul 2024)";paris-2024;2024
1603;MIROSLAW Aleksandra;POL;Poland;Spending time with her dog;Management at the Lublin University of Technology (POL);Finds every climber is extraordinary and can be inspiring in his or her own way;Her older sister Malgorzata;"""Every failure is a lesson, but you have to be willing to learn."" (myInfo)";paris-2024;2024
1635;SILVA Djamila;CPV;Cabo Verde;Reading, listening to podcasts, dance classes, being with friends, enjoying green spaces, playing music;Graduated in 2019 with a Master's degree in Clinical Psychology from the University of Lisbon (POR);"""My friends are my idols. I have had the opportunity to train with amazing athletes that also became great friends."" (Athlete, 22 May 2024)";"""My father, my mother, and my brother. Also my close friends. They know who they are."" (Athlete, 22 May 2024)";"""We must do our best in everything we do so we can live in peace with ourselves."" (Athlete, 22 May 2024)";paris-2024;2024
1734;MEHELBA Azmy;EGY;Egypt;Hunting, working out;Graduated in 2013 with a Bachelor's degree in Industrial Engineering at the Arab Academy for Science, Technology and Maritime Transport (Alexandria, EGY);"""Myself."" (Athlete, 12 Mar 2024)";His father;"""Set a goal and strive, regardless of any difficulties or obstacles.""  (myInfo)";paris-2024;2024
1737;BATBAYAR Enkhkhuslen;MGL;Mongolia;Watching movies;National University of Mongolia (Ulaanbaatar, MGL);Swimmer Katinka Hosszu (HUN), four-time 2016 Olympic medallist (three gold, one silver), 15-time world championship medallist (nine gold, one silver, five bronze).</p><p>Swimmer Adam Peaty (GBR), five-time Olympic medallist (three gold, two silver), 12-time world championship medallist (eight gold, one silver, three bronze);Her family and friends;"""The good thing about swimming is that you have a lot of time to work by yourself. I like it a lot because it's a sport where you only have to work and compete with<br>yourself. If you make a mistake, it is only because of you. If you improve, it is because of your ability and the strength of your coach."" (hangzhou2022.cn)";paris-2024;2024
1741;IBRAHIM Omar;EGY;Egypt;Hunting, fishing;Earned a Bachelor's degree in Mass Communication;Shooter Vincent Hancock (USA), three-time Olympic skeet champion (2008, 2012, 2020), 10-time world championship medallist (seven gold, two silver, one bronze).</p><p>Shooter Kim Rhode (USA), six-time Olympic medallist (three gold, one silver, two bronze) over six Olympic Games (1996, 2000, 2004, 2008, 2012, 2016), 17-time world championship medallist (eight gold, six silver, three bronze);"His father. ""Because he is always supporting me, and I think that without him it was going to be very hard to play a sport like shooting. Without his support I don't think I was going to be qualified to Paris."" (Athlete, 13 Mar 2024)";"He likens himself to a lion. ""Strong heart, mental and physical strength."" (Athlete, 13 Mar 2024)";paris-2024;2024
