;name;country_code;country;hobbies;education;hero;influence;philosophy;slug_game;game_year
7295;COWLEY Rhydian;AUS;Australia;Making jam, gardening, reading, birdwatching;Graduated in 2015 with a Bachelor of Arts/Bachelor of Commerce degree from Deakin University (Melbourne, VIC, AUS);Race walker Jared Tallent (AUS), four-time Olympic medallist (2012 gold, two silver, one bronze), three-time world championship 50km race walk silver medallist (2011, 2013, 2015);His father;"""Enjoy the journey and don't take it for granted. Never stop being curious and learning."" (athletics.com.au)";paris-2024;2024
7342;GREEN Josh;AUS;Australia;Following Australian Rules football team the Sydney Swans;Spent one year at the University of Arizona (Phoenix, AZ, USA) and then opted to enter the 2020 NBA Draft;Basketball player Kobe Bryant (USA), five-time National Basketball Association (NBA) champion with the Los Angeles Lakers (2000-02, 2009, 2010),  two-time Olympic champion (2008, 2012). Died in a helicopter crash in 2020;"His older brother. ""I don't think I would be where I am today without his help. He has always been there since day one and every single day of practice he makes me get better."" (BallerVisions Youtube channel, 24 Dec 2018)";"""My goal is to represent Australia and show up-and-coming kids that anything is possible. I never thought I would have the opportunities I have now, so I just want to make sure I take everything the right way and make the most of the opportunities that have been given to me."" (espn.com, 18 Jan 2019)";paris-2024;2024
7381;FOX Noemie;AUS;Australia;Reading, hiking, spending time at the beach;Graduated with a Bachelor's degree in Media and Communications (2019) and a Master's degree in Management (2021) from the University of Sydney (NSW, AUS);"Paracanoeist Curtis McGrath (AUS), three-time Paralympic champion (one in 2016, two in 2020), 15-time world championship medallist (12 gold, one silver, two bronze).</p><p>Canoe slalom paddler Tony Estanguet (FRA), three-time Olympic C1 champion (2000, 2004, 2012); five-time world champion. President of the Paris 2024 Olympic Games Organising Committee (2018-2024).</p><p>Malala Yousafzai (PAK), female education activist and 2014 Nobel Peace Prize laureate (at age 17, the youngest recipient in history).</p><p>Canoe slalom paddler Jessica Fox (AUS), four-time Olympic medallist (one gold, one silver, two bronze), 10-time individual world champion";"Her family. ""Although my mum has had the most prominent influence on my career, my whole family has contributed to get me where I am and keep me inspired."" (canoeicf.com)";"""Do not let what you can not do interfere with what you can do."" (canoeicf.com)";paris-2024;2024
7382;ANDERSON Timothy;AUS;Australia;Watching and playing Australian rules football, hiking, knitting, skiing, Rubik's cubes and rock climbing;Graduated with a double Bachelor's degree in Biomedical Engineering and a Bachelor of Science (2022) from the University of Sydney (NSW, AUS);"Canoe slalom paddler Michal Martikan (SVK), five-time Olympic medallist (two gold, two silver, one bronze), five-time Olympian (1996, 2000, 2004, 2008, 2012); 23-time world championship medallist (15 gold, three silver, five bronze)";"Influenced by 2004 Olympic K1 silver medallist Campbell Walsh (GBR). He was also influenced by his parents and his coach Julien Billaut who ""introduced him to a world of canoeing that he never knew about"". (canoeicf.com)";"""Love it, do it. Slow is smooth, smooth is fast."" (canoeicf.com)";paris-2024;2024
7411;DAJOMES BARRERA Neisi Patricia;ECU;Ecuador;Her pets, reading, spending time with her family, listening to music;Studied at San Francisco University of Quito (ECU);"Weightlifter Alexandra Escobar (ECU), five-time Olympian (2004, 2008, 2012, 2016, 2020), two-time world championship medallist (2013 silver, 2001 bronze). ""For me she is more than an inspiration, she is a motivation because, as a person, as an athlete, she has shown that women are capable of anything. No matter our age, we are always going to fulfil a dream we have, and for me Alexandra represents that."" (primicias.ec, 9 Oct 2021)";"Coach Walter Llerena (ECU). ""He gave me all the support a high-level athlete needed and thanks to him, I pushed my level to where I am."" (myInfo)";"""If you can dream it, you can achieve it."" (myInfo)";paris-2024;2024
7417;SMITH Anabelle;AUS;Australia;Golf, travel, reading self-help books, supporting Australian rules football team Richmond;Graduated with a degree in Exercise and Health Science at Australian Catholic University (ACU), Australia (2016);Sprinter Cathy Freeman (AUS), two-time Olympic 400m medallist (2000 gold, 1996 silver), two-time world champion (1997, 1999);Her parents;"""As an athlete, I constantly strive for progress. At training, if I am not moving forward, I'm moving backwards. If I hit a plateau or feel stagnant, it usually results in me losing motivation. So I do everything I can to find improvement every day."" (anabellesmith.net, 21 Oct 2020)";paris-2024;2024
7426;KARALIENE Donata;LTU;Lithuania;Reading books;Graduated with a degree in Physiotherapy from Lithuanian Sports University (Kaunas, LTU);Basketball player Kobe Bryant (USA), five-time National Basketball Association (NBA) champion with the Los Angeles Lakers (2000-02, 2009, 2010),  two-time Olympic champion (2008, 2012). Died in a helicopter crash in 2020. </p><p>Swimmer Ruta Meilutyte (LTU), 2012 Olympic champion (100m breaststroke), two-time 2014 Youth Olympic Games champion (50m breaststroke, 100m breaststroke), eight-time world championship breaststroke medallist (five gold, two silver, one bronze).</p><p>Discus thrower Virgilijus Alekna (LTU), two-time Olympic champion (2000, 2004), 2008 bronze medallist, four-time world medallist (two gold, two silver);Her husband Jonas Karalius;"""Set yourself high goals and always strive to be the best."" (myInfo)";paris-2024;2024
7450;YEO Seojeong;KOR;Korea;Watching YouTube videos, jigsaw puzzles, gem painting;Kyung Hee University (Gyeonggi-do, Republic of Korea);Figure skater Yuna Kim (KOR), two-time Olympic singles medallist (2010 gold, 2014 silver), six-time world championship medallist (two gold, two silver, two bronze);Her father, Yeo Hong-Cheol, Atlanta 1996 Olympic Games vault silver medallist;"""No matter the result, we must set our goals high."" (vogue.co.kr, 25 Feb 2024)";paris-2024;2024
7467;SAMARDZIC Aleksandra;BIH;Bosnia & Herzegovina;Music, books, watching Spanish TV shows on Netflix;Graduated in 2020 with a Bachelor's of Communications. Currently studying for a Master's in Public Relations;Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles (as of 10 SEP 2023), 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020);"Her father. ""If it wasn't for him, I would never have entered the world of judo. He was my first coach and my biggest supporter from the first training session until today.""";"""Work hard, give your best and rely only on yourself. A lot of people can cheer for you, love you and want to help you, but you are the one who has to fight and win for yourself."" (Athlete, 14 Apr 2024)";paris-2024;2024
7514;EDEM Offiong;NGR;Nigeria;Reading, listening to music, football;Physical Education - University of Uyo, Nigeria;Table tennis player Timo Boll (GER), four-time Olympic medallist (two silver, two bronze), six-time consecutive Olympian (2000-2020), nine-time world championship medallist (six silver, three bronze).</p><p>Table tennis player Zhang Yining (CHN), four-time Olympic champion in singles and doubles (2004, 2008);Her family;"""My philosophy in sport is to place physical health above all other considerations."" (Athlete, 20 Jul 2021)</p><p>""Those who walk with God always reach their destination."" (Instagram profile)";paris-2024;2024
7528;KIROI-BOGATYREVA Alexandra;AUS;Australia;Reading, spending time with her family, travelling;Studies Law in the honours programme, via remote, at Monash University (Melbourne, VIC, AUS);"Rhythmic gymnast Yevgeniya Kanayeva (RUS), two-time Olympic individual all-around champion (2008, 2012), 17-time world championship individual gold medallist.</p><p>Artistic gymnast Oksana Chusovitina (UZB), eight-time Olympian winning 1992 individual all-around gold (for EUN) and 2008 vault Olympic silver (GER); 11-time world championship medallist (three gold, four silver, four bronze)";Her parents;"""Work hard in silence, let success make the noise.” (Instagram, 25 May 2023)</p><p>""If you are working on something that you really care about, you do not have to be pushed. The vision pulls you."" (vis.org.au)";paris-2024;2024
7633;COSTA Catarina;POR;Portugal;Cooking, skateboarding, spending time with friends, going to the swimming pool and beach;Master's degree in Medicine at Faculty of Medicine at University of Coimbra (Coimbra, POR);Tiago Alves, an athlete from her club who died at 18 years old in 2010 after suffering from cancer. “He had the dream of going to the Olympics and that always inspired me. He will always be an idol to me.” (Athlete, 20 Mar 2024);"Coach Joao Neto. ""He’s one of my best friends, family. He helps me to be a better athlete but also a better person."" (Athlete, 20 Mar 2024)";"""Work hard in silence. Let success be your noise."" (Instagram, 1 Jan 2024)</p><p>""Always be the hardest worker in the room and try to do my best in every little thing."" (Athlete 20 Mar 2024)";paris-2024;2024
7636;SAMPAIO Patricia;POR;Portugal;Reading, spending time with her dogs and the family (close friends included), being lazy while scrolling through Instagram, catching the sun, watching YouTube videos and listening to podcasts;Sciences of Communication at the Faculty of Social and Human Sciences (Lisbon, POR). Two out of three years completed;Her brother Igor.</p><p>Judoka Kayla Harrison (USA), two-time Olympic -78kg champion (2012, 2016), three-time world championship medallist (one gold, two bronze). In 2016, she moved into  mixed martial arts and won the 2019 Professional Fighters League (PFL) lightweight title;"""My mother is my example of (a) mother and woman, and a big inspiration for life. My brother was my first idol and role model. My coach, Marco, has a major influence on my results, growth and mental toughness. My best friend, Maria Siderot, is my example of resilience and hard work."" (Athlete, 20 Mar 2024)";Invictus by William Ernest Henley;paris-2024;2024
7637;NUNES Rochele;POR;Portugal;"""I love cooking, dancing and watching movies and concerts."" (Athlete, 27 Mar 2024)";Master's in Sports Event Management with a specialisation in Socio-Cultural Animation;Racing driver Ayrton Senna (BRA), three-time Formula One champion.</p><p>Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker.</p><p>Judoka Telma Monteiro (POR), 2016 Olympic -57kg bronze medallist, five-time Olympian (2004, 2008, 2012, 2016, 2020), five-time world championship medallist (four silver, one bronze);"""Beyonce - she is a great woman, she is black, has a big family, works a lot and is the best singer and dancer."" (Athlete, 27 Mar 2024)";Just be friendly;paris-2024;2024
7648;LAVELLE Rose;USA;United States;Spending time with her dog Wilma Jean Wrinkles, reading, spending time with friends;Studied Sociology at University of Wisconsin-Madison (USA);Footballer Mia Hamm (USA), two-time Olympic champion (1996, 2004) and 2000 silver medallist, two-time FIFA World Cup winner (1991, 1999) and two-time bronze medallist (1995, 2003);"Former coach Neil Bradford, who passed away in 2016. Bradford coached her between the ages of eight and 18 at her local football academy in Cincinnati, Ohio. ""He was always someone who saw something in me. I always hoped he was going to be alive for that moment (her first international cap). It was always something he believed I could do, so it did seem fitting that my first cap was against England and I ended up sending (my match shirt) to his parents in the UK. They loved it, we still talk. They raised a really good man."" (telegraph.co.uk, 05 Nov 2019)";"""I want to keep getting better so that I can have more fun. The better I am, the more fun I'm having."" (ussoccer.com, 01 Oct 2018)";paris-2024;2024
